the fighting highlights how easily trouble in syria can raise tensions in neighboring lebanon, with which it shares a complex web of political and sectarian ties and rivalries.	sectarian	religious	ethnic	tribal	cultural	partisan	political	denominational	communal	linguistic	ideological
#36-14 a suggestion had been the addition of a canopy over the car's cockpit.	canopy	cover	roof	covering	awning	overhang	screen	shelter	tent	dome	sheet
#39-22 hyza says they will "actively cooperate with slovak police", and "express [their] sincere condolences to the bereaved families.	condolences	sympathies	sympathy	apologies	sorrow	regrets	sincere	pity	thoughts	deepest [T] sympathy	feelings
a man and a woman questioned on suspicion of assisting an offender have been released.	offender	criminal	perpetrator	crime	violator	victim	person	felon	predator	culprit	suspect
the attack began with a suicide car bomb near the gate of the privately guarded compound, which sits off jalalabad road — one of the main thoroughfares out of the city, interior ministry spokesman sediq sediqi said.	compound	building	place	house	site	residence	facility	establishment	structure	property	base
obama earlier dropped from night skies into kabul on a brief visit amid secrecy and tight security and signed a deal with president hamid karzai, cementing 10 years of u.s. aid for afghanistan after nato combat troops leave in 2014.	cementing	confirming	securing	binding	concluding	establishing	sealing	proving	bonding	consolidating	solidifying
many syrians accuse assad of exploiting that divide by unleashing alawite gunmen known as "shabiha" who operate as hired muscle for the regime.	unleashing	releasing	launching	letting loose	liberating	disarming	freeing	discharging	allowing	empowering	activating
the statue was moved to the accademia gallery in florence in 1873 , and later replaced at the original location by a replica .	replica	copy	duplicate	clone	imitation	reproduction	replication	representation	replicator	model	imitator
#36-12 the contract had previously been for two races, but after acquiring sponsorship, the deal was increased by five events; earlier in august, wilson recorded a best finish of second at mid-ohio sports car course.	acquiring	obtaining	buying	getting	purchasing	gaining	finding	receiving	procuring	taking	accepting
on the diplomatic front, european union foreign ministers meeting in brussels on monday  agreed fresh sanctions against syria, the 15th round so far to protest the relentless repression of dissidents by assad's regime.	repression	oppression	persecution	suppression	censorship	arrest	harassment	intimidation	detention	control	attack
moments later, the neighbor said, ms. thomas, 33, emerged from her house and called her children to come back home.	emerged	appeared	came	came out	got up	walked	arrived	returned	escaped	surfaced	entered
#35-24 both men say they were starved, suffocated, stripped naked, exposed to cold temperatures, beaten, threatened, and denied legal representation.	threatened	intimidated	harassed	threatening	bullied	warned	scared	menaced	provoked	cursed	pressured
commander of the moesian troops , he obtained an important victory against the invading goths and was , for this reason , acclaimed emperor by his army .	acclaimed	recognized	acknowledged	praised	accepted	honored	declared	hailed	approved	proclaimed	crowned
chinese officials, who refer to scarborough shoal as huangyan island, have in the past asserted chinese sovereignty over the area.	asserted	established	declared	claimed	proved	proven	affirmed	stated	confirmed	demonstrated	proclaimed
#40-7 the national government has deployed several thousand paramilitary personnel to assist the state government.	deployed	sent	sent out	moved	placed	brought	assigned	set up	shipped	transported	posted
libertyville, illinois-based motorola mobility had said in a regulatory filing in february that only chinese clearance was still required.	clearance	approval	authorization	inspection	certification	security	permission	license	check	permit	release
putin, meanwhile, officially registered on wednesday to run for the presidency in march, but the unusually sustained protests of the past two days suggested his drive to retake the job he held from 2000-2008 may not go as smoothly as he had expected.	sustained	persistent	prolonged	continued	continuous	constant	long	strong	consistent	intense	enduring
sunday's parliamentary vote suggested russians are tiring of putin and his united russia party, which has dominated all other political forces in the country for a dozen years and earned a reputation for corruption.	dominated	controlled	ruled	conquered	overruled	led	prevailed	overpowered	predominated	taken over	held
#36-15 the topic had been controversial: while some supported it for safety reasons, others opposed it because of history, possibly affecting the aerodynamics of the car, limiting one's peripheral vision and movement inside the car, and worry about escaping an upside-down or burning car.	controversial	unpopular	debated	questionable	contentious	disputed	disputable	disagreeable	contested	debatable	uncertain
google on saturday said that chinese regulators approved its $12.5 billion deal to buy motorola mobility, clearing the path for the internet titan to complete the acquisition early next week.	acquisition	purchase	merger	transaction	takeover	transfer	addition	acquiring	buying	investment	taking over
president barack obama made a surprise visit on tuesday to afghanistan, where he will sign an agreement outlining the u.s.' role in the country as the decade-long war there winds down.	outlining	describing	explaining	defining	showing	detailing	setting out	laying out	clarifying	illustrating	summarizing
#26-15 västerås is in central sweden, approximately 115 km (70 miles) west from the capital stockholm.	approximately	about	roughly	around	nearly	near	within	almost	generally	at least	close to
the text is an indication that it was premeditated, goodyear said.	indication	hint	sign	warning	clue	evidence	suggestion	signal	proof	confirmation	notice
their strongest emissions are in the infrared ( ir ) spectrum , and ground-based ir detectors were too imprecise at that time to readily identify any brown dwarfs .	emissions	emission	signals	outputs	sounds	noise	radiation	radiations	activity	output	vibrations
#21-15 eventually, f1 mandated the use of the "virtual safety car", which requires drivers to enter the pit lane at slower speeds instead of proceeding around the track.	mandated	required	ordered	directed	commanded	forced	demanded	prescribed	imposed	dictated	obliged
#6-3 artist's rendition of manning as she views herself.	rendition	representation	portrayal	imitation	depiction	rendering	interpretation	re-creation	impression	recreation	illustration
tensions stemming from the 14-month-old uprising against president bashar assad also touched off clashes across the border in lebanon as the revolt threatened to morph into a broader conflict.	morph	change	transform	evolve	develop	grow	turn	take shape	form	expand	become
#42-22 after a while i needed to start thinking about an internship for my m.sc.	internship	job	work	work experience	study	placement	experience	assignment	practicum	apprenticeship	training
her 21-year-old sister remains critically ill in hospital.	critically	seriously	serious	critical	severely	very	grave	extremely	severe	gravely	dangerous
even after the u.s. combat mission is concluded in 2014, it is likely that thousands of u.s. troops will remain for some years to conduct counterterrorism strikes and otherwise train and advise afghan forces, and help the afghans collect and exploit intelligence on insurgents and other military targets.	insurgents	rebels	terrorists	attackers	militants	enemies	thugs	fighters	criminals	gangs	troublemakers
#6-16 manning is among more than 1,500 individuals whom president obama has granted clemency during his tenure.	clemency	mercy	pardon	leniency	forgiveness	indulgence	repentance	amnesty	forbearance	lenience	grace
the state will have to raise money on debt markets for the loans to the banks, which will be made through an instrument known as contingent convertibles, or cocos, which carry the risk that the state ends up with ownership of still-troubled banks.	instrument	device	thing	tool	product	item	document	mechanism	gadget	contract	weapon
as we emerge from a decade of conflict abroad and economic crisis at home, it's time to renew america, obama said, speaking against a backdrop of armored vehicles and a u.s. flag.	emerge	rise	come out	arise	come back	come	appear	recover	break out	return	spring
the eu ministers agreed to an assets freeze and visa ban on two firms and three people believed to provide funding for the regime, according to the office of eu foreign policy chief catherine ashton.	regime	government	system	dictatorship	rule	authority	administration	state	power	order	party
the original intention was to provide a home for their opera company , the english opera group , but the vision was soon widened to include readings of poetry , literature , drama , lectures and exhibitions of art .	exhibitions	displays	shows	presentations	demonstrations	performances	showings	exhibits	events	projections	installations
#30-15 all opinion polls indicate that the spanish society is not at all preoccupied by security but by the economic situation and political corruption.	preoccupied	concerned	worried	occupied	anxious	troubled	interested	distracted	focused	obsessed	consumed
the acquisition is the largest wireless-equipment deal in at least a decade, according to data compiled by bloomberg.	compiled	collected	gathered	assembled	calculated	researched	written	recorded	prepared	arranged	organized
mature kauri trees have characteristically large trunks , forming a bole with little or no branching below the crown .	bole	branch	trunk	limb	stem	twig	stalk	column	leaf	root	stick
#8-8 i want to continue playing at the highest level and win as many trophies as possible.	trophies	awards	prizes	medals	certificates	crowns	honors	titles	accolades	badges	rewards
#34-8 "commanders of the korean people's army were hastily dispatched to the front-line troops to command military operations to destroy psychological warfare tools if the enemy does not stop the propaganda broadcast within 48 hours and prepare against the enemy's possible counteractions," added kcna.	counteractions	countermeasures	attacks	responses	actions	counterattacks	reactions	interventions	defenses	attack	response
mr del rosario said that despite the impasse, "we resolved to seek a diplomatic solution to the issue".	impasse	deadlock	blockade	standstill	gap	stoppage	conflict	disagreement	confusion	obstacle	obstruction
#15-41 rex tillerson, proposed secretary of state for the trump administration, implied the troops would be staying put.	implied	suggested	said	stated	imply	assumed	indicated	meant	told	claimed	hinted
but members of the opposition had urged syrians to boycott the elections, saying a vote for any of the candidates amounted to a vote for al-assad, whose family has ruled the country for 42 years.	boycott	avoid	refuse	reject	ignore	abstain	deny	stop	eject	denounce	forgo
fearing the prospect of facing other large armies and exhausted by years of campaigning , alexander 's army mutinied at the hyphasis river , refusing to march further east .	campaigning	fighting	marching	battle	battling	warring	combat	warfare	combating	hunting	contesting
alexander succeeded his father , philip ii of macedon , to the throne in 336 bc after philip was assassinated .	assassinated	killed	murdered	executed	slain	shot	put to death	poisoned	deposed	shot dead	destroyed
#5-1 bomb kills at least 50 in gao, mali a vehicle packed with explosives was detonated this morning in gao, mali.	detonated	exploded	set off	blown up	ignited	set	struck	released	destroyed	dropped	broken
#13-6 although the 51-48 vote was mostly along party lines, some republicans have expressed uncertainty about repealing obamacare before a replacement system is worked out.	repealing	removing	destroying	dismantling	tearing down	taking down	eliminating	degrading	abrogating	terminating	deleting
#26-4 according to police, the two fatalities do not have any obvious connection to the suspects, but did know each other.	obvious	clear	apparent	evident	direct	visible	definite	easy	immediate	simple	noticeable
the assault raises fresh concern about the resilience of the insurgency on the anniversary of osama bin laden's death as nato winds down its combat presence in the next two years and hands over responsibility for security to afghan forces.	resilience	strength	durability	endurance	toughness	stamina	adaptability	ability	stability	robustness	resistance
the gradual accumulation of decayed plant material in a bog functions as a carbon sink .	accumulation	gathering	growth	collection	formation	building	buildup	stacking	building up	development	concentration
#26-12 according to the paper, the victims were not local residents, but did have a connection with västerås, where they were vacationing at the time of the attack, which a police spokesperson has called "an act of madness"((sv)).	vacationing	visiting	enjoying	traveling	escaping	relaxing	travelling	going	holidaying	spending	staying
sunday's parliamentary vote suggested russians are tiring of mr putin and his united russia party and allegations of vote-rigging have fired up the opposition, which has long seen its protests crushed and its pleas ignored by the kremlin-dominated media.	allegations	accusations	claims	rumors	assertions	evidence	charges	suspicions	reports	suggestions	complaints
it said panatag shoal is an integral part of philippine territory, 124 nautical miles from the nearest base-point in zambales.	integral	essential	fundamental	vital	central	necessary	integrated	important	complete	substantial	significant
#26-4 according to police, the two fatalities do not have any obvious connection to the suspects, but did know each other.	fatalities	deaths	death	dead	murders	injuries	demises	accidents	casualties	losses	suicides
kirill kudryavtsev / afp - getty images police officers surround russian opposition leader boris nemtsov, who was detained while taking part in an unauthorized rally at the triumfalnaya square in central moscow late on tuesday.	detained	arrested	seized	caught	taken	stopped	held	captured	confined	taken away	removed
#30-19 "we would have preferred a different solution but they have the legal right to impose the fine,” portillo said, but the public posting of the photo impugned the officers' sense of honor.	impugned	challenged	questioned	doubted	undermined	attacked	criticized	denigrated	ridiculed	criticised	threatened
