os partidos estão mais cautelosos	cautelosos	precavidos	calmos	conservadores	vigilantes	sensíveis	prudentes	reservados	tranquilos	preocupados	calculados
uma arena suspensa com estacionamento subterrâneo e capacidade entre 45 e 50 mil espectadores	espectadores	pessoas	convidados	moradores	frequentadores	visitantes	presentes	fãs	participantes	lugares	passageiros
apesar das boas intenções a organização das nações unidas para a educação a ciência e a cultura unesco tratou de se desvincular da escolha	desvincular	afastar	separar	excluir	aferir	retirar	desligar	apartar	desmarcar	distanciar	diminuir
a musculação do dólar e a expectativa de maior preço dos grãos representam âncoras para enfrentar águas turbulentas	turbulentas	agitadas	tumultuadas	quentes	tumultuantes	difíceis	repentinas	violentas	movimentadas	tormentosas	tumultuosas
o animal deu alguns passos e começou a verter sangue pela boca	verter	beber	derramar	esvaziar	fluir	lançar	expulsar	correr	aspirar	dar	trazer
em março o comando de policiamento da capital cpc atingiu 40 do número previsto para fiscalização de veículos enquanto outros comandos regionais como metropolitano sul missões e vale do taquari superaram as metas estipuladas	fiscalização	inspeção	vigilância	controle	verificação	atenção	análise	bloqueio	monitoramento	acompanhamento	supervisão
duas situações foram detectadas pelo grupo	grupo	equipe	conjunto	coletivo	agrupamento	pessoas	grupos	família	associação	pessoa	indivíduo
o próprio carro de simões tem o aparelho	aparelho	aparelhos	equipamento	dispositivo	veículo	carro	equipamentos	ferramenta	peça	objeto	mecanismo
o nevoeiro não se restringiu à capital	restringiu	diminuiu	limitou	reduziu	estendeu	limiteu	fechou	enfraqueceu	afastou	conteve	bloqueou
outros cinco continuavam desaparecidos	desaparecidos	abandonados	desconhecidos	afastados	perdidos	ocultos	mortos	resgatados	aflito	extintos	inativos
as estratégias já começaram a envolver os altos escalões dos governos	escalões	níveis	nível	graus	estágios	elevados	degraus	cargos	grupos	instâncias	categorias
o zoneamento mostrará que procedimentos devem ser tomados em cada área explica	procedimentos	cuidados	maneiras	princípios	regras	passos	ações	normas	métodos	comportamentos	critérios
o pequeno príncipe original era melancólico com pontos de alegria	melancólico	triste	alegre	feliz	cansativo	divertido	calmo	tranquilo	sereno	angustiado	animado
e basta uma pequena assimetria entre eles para que o sistema automático se desarme e o avião volte para o modo manual	assimetria	diferença	desigualdade	simetria	variação	irregularidade	desvio	oscilação	desarmonia	divergência	diminuição
diante do fracasso de projetos como o da elétrica jacuí eleja envolvida no escândalo das usinas que redundou até em prisões as dúvidas sobre o potencial da geração térmica a carvão no estado persistem	persistem	continuam	permanecem	seguem	mantém	permaneceram	permanece	mantém-se	perseveram	ficam	conservam
mas sim o embrião de um movimento de perpetuação no poder que ameaça se alastrar pela américa latina	alastrar	espalhar	estender	ampliar	expandir	esvaziar	distribuir	aumentar	esmagar	deslocar	abrir
proprietária quer se desfazer dos bichos	proprietária	possuidora	donos	administrador	proprietário	herdeiro	dono	legítimo	Proprietário	chefe	patrocinador
o sistema é protegido por um segundo tubo cheio de lama que envolve a perfuratriz reduzindo atritos e removendo os detritos	detritos	resíduos	restos	pedaços	escombros	fragmentos	escombro	depósitos	residuos	ruínas	objetos
a devoção também encontra adeptos nos centros urbanos	adeptos	seguidores	apoiadores	admiradores	fãs	apoiantes	defensores	partidários	fiéis	frequentadores	filiados
foi um padre de casca que introduziu o rodízio da santinha para aumentar a fé e fazer com que nós conhecêssemos e freqüentássemos mais as casas dos outros lembra a agricultora que mora na localidade de montes cárpatos	rodízio	ritual	rito	rotatividade	uso	atividade	batida	movimento	hábito	prática	troca
aos poucos recupera a forma depois de mais de um mês e meio fora do futebol por causa de contusão muscular na coxa direita	contusão	lesão	dor	ruptura	acidente	dano	rompimento	luxação	quebra	problema	fracasso
isso porque a boeing utiliza um conceito que torna a operação de um avião mais simples e menos propícia a erros do piloto ou a mau funcionamento da aeronave	propícia	favorável	sujeita	propício	indicada	propicio	adequada	obrigada	aceitável	possível	exposta
a mesa também discutiu a possibilidade de criar uma sala reservada dentro do cafezinho do senado porque os parlamentares têm reclamado da falta de privacidade no seu tradicional ponto de encontro que agora está restrito aos senadores	restrito	limitado	reduzido	fechado	reservado	restringido	acessível	diminuído	esvaziado	proibido	bloqueado
os brasileiros marcaram 370 pontos em matemática 14 a mais do que na sondagem de 2003	sondagem	pesquisa	avaliação	estudo	seleção	estimativa	coleta	prova	levantamento	investigação	analise
o lar do pontífice em são paulo consiste de três salas contíguas no primeiro andar do mosteiro cada uma com uma janela dando para os jardins do claustro	contíguas	paralelas	contiguas	juntas	separadas	próximas	convergentes	contínuas	distintas	adjacentes	diferentes
a sala contém ainda uma poltrona com uma luminária de leitura ao lado escrivaninha uma cadeira e arcondicionado	escrivaninha	mesa	cadeira	poltrona	armário	estante	armação	cozinha	escritorio	cadeiras	lavabo
o toque de requinte a esses aposentos austeros é conferido por flores	requinte	luxo	charme	distinção	beleza	nobreza	atenção	honra	ostentação	estilo	perfeição
o toque de requinte a esses aposentos austeros é conferido por flores	conferido	concedido	dado	atribuído	garantido	disponibilizado	oferecido	entregado	trazido	agregado	proporcionado
no momento crucial da história da varig os desentendimentos internos que se tornaram marca registrada da empresa viraram passado pelo menos por um momento	crucial	importante	decisivo	fundamental	crítico	determinante	necessário	estratégico	difícil	importantíssimo	muito importante
a informação foi dada na conferência da origem do universo aos grandes telescópios ministrada ontem por joão steiner astrofísico da usp durante a 52ª reunião anual da sociedade brasileira para o progresso da ciência	conferência	palestra	reunião	discussão	exposição	congresso	conversa	apresentação	debate	fala	demonstração
mas zonas de intensa urbanização recente como o sul dos eua e o norte do méxico também foram incluídas no novo mapa da escassez	escassez	falta	abundância	desigualdade	excesso	falta de recursos	diminuição	carência	a escassez	ausência	esgotamento
a equipe liderada por yoshihiro kawaoka analisou amostras do h5 n1 o vírus influenza que em 1997 matou 6 das 18 pessoas infectadas em hong kong	infectadas	contaminadas	contagiadas	contaminados	afetadas	expostas	infeccionadas	doentes	contaminada	infectados	infetadas
atualmente o único meio seguro de aferir sua presença é observar astros próximos que estejam sob influência de sua gravidade	aferir	verificar	confirmar	identificar	comprovar	apurar	avaliar	descobrir	detectar	medir	observar
agora ele informa que um deles está atravessando a vastidão da galáxia a uma velocidade exorbitante vindo direto para cá	exorbitante	impressionante	exótica	exuberante	extraordinária	deslumbrante	incomum	superior	muito grande	extraordinário	grande
em volta do buraco negro está orbitando uma estrela subgigante bastante comum	orbitando	caminhando	passando	circulando	viajando	ao redor	percorrendo	oscilando	transitando	voando	passeando
depois de ter sido acusada pela organização mundial da saúde de ter mais casos de pneumonia asiática do que relatava publicamente a china prometeu mais transparência na notificação de casos da doença	notificação	confirmação	comunicação	verificação	aviso	apuração	comprovação	conta	informação	identificação	indicação
os resultados do trabalho que tem como autores pesquisadores franceses e argentinos e o astrofísico brasileiro irapuan rodrigues haviam sido noticiados pela folha em março antes de o estudo ser selecionado para publicação	selecionado	escolhido	convocado	selecionados	convidado	selecionada	classificado	aceito	contratado	seleccionado	preparado
enquanto a nasa trabalha furiosamente para manter suas naves em operação a despeito dos problemas com a espuma os parceiros internacionais no projeto da construção da iss estão preocupados	parceiros	cooperadores	associados	apoiadores	aliados	colaboradores	companheiros	colegas	conselheiros	amigos	ajudantes
a boa notícia é que pesquisadores argentinos acharam o mais antigo mamífero com traços modernos da américa do sul capaz de preencher uma lacuna de milhões de anos na história desses animais	lacuna	falta	falha	defeito	ausência	carência	vaidade	escassez	deficit	fracasso	vaga
segundo eles a pele humana ainda é bem mais complexa do que as imitações desenvolvidas até agora	imitações	adaptações	variantes	modificações	alterações	cópias	variações	retificações	ajustes	consertos	modelos
um ser que invade corpos e domina a mente alheia forçando suas vítimas a fazer o que ele ordena não é mero personagem de ficção	alheia	privada	desconhecida	comum	inacessível	coletiva	acessível	pessoa	consciente	humana	particular
um ser que invade corpos e domina a mente alheia forçando suas vítimas a fazer o que ele ordena não é mero personagem de ficção	mero	simples	raro	menor	único	apenas	qualquer	pouco	raramente	nada	certo
a estimativa anterior da organização das nações unidas onu calculava em meio bilhão o número de indivíduos expostos atualmente ao problema	estimativa	previsão	avaliação	expectativa	especulação	estimativas	perspectiva	suposições	calculo	aproximação	conta
ele teria sido chutado para fora de sua órbita regular em torno do centro galáctico após a explosão da supernova e a conversão em buraco negro	conversão	redução	mudança	conserto	transformação	junção	troca	alteração	modificação	conversión	mistura
os experimentos foram realizados na própria casa em um quarto ao qual moradores e bichos estavam acostumados	experimentos	testes	ensaios	estudos	exames	pesquisas	provas	experiências	teste	análises	observações
o maldi feito pelo grupo do lip laboratório de instrumentação e partículas do instituto de física também financiado pela fapesp saiu bem mais em conta	financiado	pago	apoiado	patrocinado	contratado	ajudado	suportado	auxiliado	concedido	autorizado	garantido
o maldi pesa as moléculas bombardeando a amostra que se quer estudar com pulsos de laser	amostra	amostragem	parte	mostra	exemplo	aglomeração	fragmento	coleta	porção	parcela	grupo
vitoriosa é o resultado de um experimento realizado pela embrapa	experimento	teste	pesquisa	estudo	prova	testes	efeito	ensaios	ensaio	exame	experiência
o clone do clone coloca o brasil na vanguarda científica desse assunto como já está no seqüenciamento soletração de genoma afirmou rodrigues	vanguarda	frente	avanço	fronteira	ponta	primeira linha	linha de frente	liderança	direção	elite	superioridade
esse mecanismo é o equivalente geológico de um cobertor numa noite fria que aquece a atmosfera da terra retendo radiação do sol que de outro modo se dissiparia no espaço	dissiparia	separaria	desviaria	diminuiria	derrubaria	esvaziaria	quebraria	conterria	dissipa	disiparia	disseminaria
depois disso o que você faz é basicamente sequenciar tudo o que está ali e examinar toda a cadeia de relações alimentares ecológicas e de parentesco das pessoas e animais que habitaram a caverna afirma	sequenciar	organizar	agrupar	ordenar	juntar	rastrear	selecionar	reunir	classificar	separar	listar
agora os cientistas já agarram um punhado deles de uma vez e trabalham em todos ao mesmo tempo	punhado	pedaço	montão	parte	quantidade	amontoado	parcela	grupo	número	bando	união
a sorte dos cientistas liderados por jillian banfield da universidade da califórnia em berkeley foi que a amostra de efluentes ácidos analisada tinha um pequeno número de organismos	liderados	comandados	dirigidos	guiados	chefiados	impulsionados	orientados	conduzidos	liderado	ordenados	escolhidos
os resultados são importante referência para os médicos decidirem se e quando devem seguir uma estratégia de interrupção estruturada ao receitar drogas contra o hiv	estruturada	organizada	planejada	pensada	preparada	adequada	organizado	projetada	ordenada	elaborada	feita
como as técnicas desse tipo têm limitações é sempre bom contar com novas opções avalia stevani com a ressalva de que os estudos ainda estão no começo	ressalva	certeza	resalva	clareza	consideração	cautela	indicação	atenção	opinião	avaliação	justificativa
a universidade de tóquio desenvolveu uma pele artificial para robôs que imita uma parcela significativa das qualidades e capacidades da pele humana normal	significativa	importante	relevante	representativa	impressionante	marcante	interessante	valiosa	considerável	expressiva	importantíssima
